Grid_X,Grid_Y,Grid_Z,Range_Index,Time_Delay,Phase_Compensation,Index_Last,Index_Next,Interp_Weight,Data_Last_Real,Data_Last_Imag,Data_Next_Real,Data_Next_Imag,Power_Contrib_Real,Power_Contrib_Imag,Power_Contrib_Magnitude,Power_Contrib_Phase,Total_Power_Real,Total_Power_Imag,Total_Power_Magnitude,Total_Power_Phase
19.88,-0.16,-5.4,56,1.41144850276418e-06,88683.9249440855,85,86,0.68691016585106,67.7395725556839,-40.6491120440932,12.7759406598089,-7.66657691738982,-28.1617258253648,20.7301189455822,34.9688523254768,2.5070407809067,-1307.50403853863,1402.22883127077,1917.24085759766,2.32125147525294
19.88,-0.16,-5.4,57,1.4114443786637e-06,88683.66581921,85,86,0.686662719822152,76.0277645883705,-21.465763710973,14.3391251558384,-4.04852456314856,-28.3020199633175,20.5651612679783,34.984713690153,2.51321538255027,-1335.80605850195,1422.79399253875,1951.59436644372,2.32467157371953
19.88,-0.16,-5.4,58,1.41144028958128e-06,88683.4088945841,85,86,0.686417374876882,78.9942036892613,-0.956965777599141,14.898606836842,-0.180487380224079,-28.4405324955616,20.4001700432735,35.0004403747377,2.51935526426999,-1364.24659099751,1443.19416258202,1985.94515331092,2.3280810665106
19.88,-0.16,-5.4,59,1.41143623548648e-06,88683.154168295,85,86,0.686174129188615,76.5690781182076,19.4467548996694,14.4412189434817,3.66773183311413,-28.5772766116181,20.2351622984924,35.0160324963189,2.5254606012127,-1392.82386760913,1463.42932488051,2020.2929775411,2.33147991609189
19.88,-0.16,-5.4,60,1.41143221634828e-06,88682.9016383946,85,86,0.685932980897022,69.0499824889118,38.3809838107491,13.0230889501703,7.23879931819962,-28.7122615847026,20.0701604007733,35.0314901741441,2.53153137093935,-1421.53612919383,1483.49948528128,2054.63760537795,2.33486808664355
19.88,-0.16,-5.4,61,1.41142823213514e-06,88682.6513028994,85,86,0.685693928108122,57.0608308089229,54.6357171399394,10.7618894083652,10.3045037597806,-28.8454921610564,19.9051933064277,35.0468135296181,2.53756731478964,-1450.38162135489,1503.40467858771,2088.97881156403,2.33824554004076
19.88,-0.16,-5.4,62,1.4114242828149e-06,88682.4031597909,85,86,0.685456968894229,41.4916295410015,67.226815170974,7.82547891719951,12.6792326695932,-28.9769724652567,19.7402912623471,35.0620026863062,2.54356812608197,-1479.35859382015,1523.14496985006,2123.31637969688,2.34161223526821
19.88,-0.16,-5.4,63,1.4114203683549e-06,88682.1572070151,85,86,0.685222101294059,23.4248451077863,75.447177758192,4.41801475520503,14.2296242745901,-29.1067210602845,19.5754634916675,35.0770577699273,2.54953421766871,-1508.46531488043,1542.72043334173,2157.65009713053,2.3449681401083
19.88,-0.16,-5.4,64,1.41141648872188e-06,88681.9134424832,85,86,0.684989323312763,4.05472798011305,78.8958755639817,0.76473709696068,14.8800617789627,-29.2347378020442,19.4107467488999,35.0919789083517,2.55546504513362,-1537.70005268248,1562.13118009063,2191.97976172934,2.34831321546183
19.88,-0.16,-5.4,65,1.41141264388203e-06,88681.6718640708,85,86,0.684758632921941,-15.3947745793024,77.4854884197839,-2.90351295521719,14.6140574068976,-29.3610285061994,19.24616949677,35.1067662316006,2.56136034772092,-1567.06108118868,1581.3773495874,2226.30517988084,2.35164742025708
19.88,-0.16,-5.4,66,1.41140883380099e-06,88681.4324696188,85,86,0.684530028059626,-33.7478298161462,71.4288735925496,-6.36496887803638,13.4717568473767,-29.4856119278516,19.0817405666955,35.1214198718466,2.56722052661238,-1596.54669311653,1600.45909015409,2260.62616161058,2.35497072165712
19.88,-0.16,-5.4,67,1.41140505844384e-06,88681.195256933,85,86,0.684303506630542,-49.9455185542095,61.2082116741791,-9.41991449307464,11.5441011913607,-29.6084911392775,18.9174926871085,35.1359399633976,2.57304516092293,-1626.1551842558,1619.3765828412,2294.94252658677,2.35828308215337
19.88,-0.16,-5.4,68,1.4114013177751e-06,88680.9602237839,85,86,0.684079066505802,-63.1024396158781,47.5298023825522,-11.9013597754683,8.96430124817758,-29.7296798450393,18.7534423347042,35.1503266427158,2.57883437515878,-1655.88486410084,1638.13002517591,2329.25410003741,2.3615844679503
19.88,-0.16,-5.4,69,1.41139761175872e-06,88680.7273679075,85,86,0.683856705523255,-72.5483381346321,31.2688124798991,-13.6828921117549,5.89741679307901,-29.8491818349658,18.5896216681024,35.1645800483958,2.58458775824286,-1685.73404593581,1656.71964684401,2363.56071677164,2.36487484092404
19.88,-0.16,-5.4,70,1.41139394035812e-06,88680.4966870046,85,86,0.683636421487336,-77.8538441505294,13.4081673238768,-14.6835306967363,2.52883128168285,-29.9670012054773,18.4260629283058,35.1787003211739,2.5903048946889,-1715.70104714129,1675.14570977231,2397.86222125674,2.36815415887241
19.88,-0.16,-5.4,71,1.41139030353615e-06,88680.268178741,85,86,0.683418212169244,-78.8400725787369,-5.02423683553091,-14.869537124005,-0.947590149300159,-30.0831676070867,18.2627568431172,35.192687603917,2.59598674716429,-1745.78421474837,1693.40846661543,2432.15845685873,2.3714223952467
19.88,-0.16,-5.4,72,1.41138670125511e-06,88680.041840748,85,86,0.68320207530688,-75.5730128165847,-23.0156410691582,-14.2533572445262,-4.34083731935734,-30.197673953848,18.0997538741798,35.2065420416262,2.60163227734623,-1775.98188870222,1711.50822048961,2466.44928141688,2.37467951023908
19.88,-0.16,-5.4,73,1.41138313347675e-06,88679.8176706219,85,86,0.682988008604909,-68.3445855563597,-39.6234479207632,-12.8900484095839,-7.47313276824368,-30.3105387886549,17.9370627242924,35.2202637814334,2.60724183215237,-1806.29242749088,1729.4452832139,2500.73455633374,2.37792547069276
