Pulso_ID,Tiempo_Vuelo_s,Fase_rad,Fase_deg,Indice_Rango_Last,Indice_Rango_Next,Indice_Azimut,Amplitud_Last,Amplitud_Next,Amplitud_Interpolada,Factor_Interpolacion_q,Fase_Compensacion_Real,Fase_Compensacion_Imag,Energia_Acumulada_Real,Energia_Acumulada_Imag,Energia_Acumulada_Magnitud
70,0.000001301673,88682.334627520511,5081123.491523800418,84,85,70,79.000000000001,14.899700043062,35.066197634130,0.685391525397,0.113350199152,0.993555097794,-29.263779902602,-19.320181218818,35.066197634130
71,0.000001301736,88682.180745602833,5081114.674739374779,84,85,71,79.000000000001,14.899700043062,35.075616942903,0.685244578990,0.264298279433,0.964440988080,-12.602433599701,32.733432012094,35.075616942903
72,0.000001301348,88682.686692905845,5081143.663384492509,84,85,72,79.000000000001,14.899700043062,35.044647262112,0.685727723075,-0.236217218441,0.971700275657,-9.756662430680,-33.659097432041,35.044647262112
73,0.000001300913,88681.763089209388,5081090.744790744036,84,85,73,79.000000000001,14.899700043062,35.101182224323,0.684845746512,0.632775732707,0.774335116146,-23.346167943657,26.211627875653,35.101182224323
74,0.000001300966,88681.391798223791,5081069.471384297125,84,85,74,79.000000000001,14.899700043062,35.123909419894,0.684491189738,0.870601522531,0.491988809798,-34.520105052105,-6.484702007692,35.123909419894
75,0.000001301098,88680.929563688580,5081042.987296285108,84,85,75,79.000000000001,14.899700043062,35.152203386323,0.684049788271,0.998641114223,0.052114537157,-33.456295344099,-10.786737447525,35.152203386323
76,0.000001301163,88679.900804917837,5080984.043760583736,84,85,76,79.000000000001,14.899700043062,35.215175024972,0.683067396010,0.559825931245,-0.828610238113,9.187652841168,33.995523048036,35.215175024972
77,0.000001301219,88679.487086304754,5080960.339430148713,84,85,77,79.000000000001,14.899700043062,35.240499269825,0.682672323836,0.179479268543,-0.983761755794,-32.479106395513,13.674810292486,35.240499269825
78,0.000001301289,88679.048484621904,5080935.209404833615,84,85,78,79.000000000001,14.899700043062,35.267346639169,0.682253490081,-0.255287054970,-0.966865305803,27.513502584896,22.063384021455,35.267346639169
79,0.000001301348,88679.221438292996,5080945.118920238689,84,85,79,79.000000000001,14.899700043062,35.256759924004,0.682418648671,-0.085087904889,-0.996373448282,-14.519292157798,32.128325128699,35.256759924004
80,0.000001301422,88679.394523232942,5080955.035956795327,84,85,80,79.000000000001,14.899700043062,35.246165173705,0.682583932613,0.087780901926,-0.996139806080,-30.025978336942,18.458948625575,35.246165173705
81,0.000001301567,88679.319659659042,5080950.746589970775,84,85,81,79.000000000001,14.899700043062,35.250747668705,0.682512443166,0.013030084411,-0.999915104847,-12.209603675119,33.068728268550,35.250747668705
82,0.000001301630,88679.536462269432,5080963.168464533985,84,85,82,79.000000000001,14.899700043062,35.237476903947,0.682719474409,0.227814979942,-0.973704439198,-28.382904261311,-20.882780567957,35.237476903947
83,0.000001301708,88679.816558833292,5080979.216815499589,84,85,83,79.000000000001,14.899700043062,35.220331835435,0.682986946925,0.488115828377,-0.872778859785,-20.184980461661,28.862403544413,35.220331835435
84,0.000001300834,88679.912070459497,5080984.689228575677,84,85,84,79.000000000001,14.899700043062,35.214485446775,0.683078153810,0.569124952895,-0.822251049250,-27.217170337850,-22.344700134072,35.214485446775
85,0.000001300910,88679.143766165420,5080940.668635142967,84,85,85,79.000000000001,14.899700043062,35.261514334163,0.682344477252,-0.162144021452,-0.986767103377,-35.229108634876,-1.511389403986,35.261514334163
86,0.000001301063,88678.536384202554,5080905.868212117814,84,85,86,79.000000000001,14.899700043062,35.298692960071,0.681764470202,-0.696311108240,-0.717740092611,-28.870757269049,20.309532229991,35.298692960071
87,0.000001301126,88677.762778700591,5080861.543881847523,84,85,87,79.000000000001,14.899700043062,35.346046341167,0.681025731364,-0.999636983318,-0.026942560824,-35.324170049868,1.243383384135,35.346046341167
88,0.000001301206,88677.121605548149,5080824.807366275229,84,85,88,79.000000000001,14.899700043062,35.385293368960,0.680413456105,-0.817219001039,0.576327254553,28.516677136091,20.950372596288,35.385293368960
89,0.000001301273,88676.998547331110,5080817.756649804302,84,85,89,79.000000000001,14.899700043062,35.392825919638,0.680295944163,-0.740296158054,0.672280892462,-20.997731975138,28.491180714004,35.392825919638
